Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
22973.35 ; 0.4938833
23076.4 ; 0.4489393
23222.39 ; 0.386121
23368.38 ; 0.3248283
23660.35 ; 0.2085368
23806.34 ; 0.155564
23879.34 ; 0.1305766
23952.33 ; 0.1069884
24025.33 ; 0.08516974
24098.32 ; 0.06517452
24171.31 ; 0.04725668
24207.81 ; 0.039145
24244.3 ; 0.03170521
24270.07 ; 0.02688065
24295.83 ; 0.02240517
24321.59 ; 0.01821561
24347.35 ; 0.01446535
24373.12 ; 0.01112388
24386.0 ; 0.009605978
24398.88 ; 0.008195138
24411.76 ; 0.00689851
24424.64 ; 0.005714102
24437.52 ; 0.004628424
24450.4 ; 0.00367219
24458.99 ; 0.003101879
24467.58 ; 0.002585706
24476.17 ; 0.00212448
24484.75 ; 0.001719376
24493.34 ; 0.001368757
24497.64 ; 0.001214393
24501.93 ; 0.001075556
24506.23 ; 9.513857E-4
24510.52 ; 8.422496E-4
24514.81 ; 7.478804E-4
24519.1 ; 6.683812E-4
24524.47 ; 5.89991E-4
24527.16 ; 5.596142E-4
24529.84 ; 5.352889E-4
24532.53 ; 5.168613E-4
24535.21 ; 5.044959E-4
24537.9 ; 4.981284E-4
24540.58 ; 4.978339E-4
24543.54 ; 5.045596E-4
24546.49 ; 5.186633E-4
24549.44 ; 5.401933E-4
24552.39 ; 5.691873E-4
24555.34 ; 6.056827E-4
24558.29 ; 6.497174E-4
24561.24 ; 7.013302E-4
24564.19 ; 7.605597E-4
24570.1 ; 9.022907E-4
24576.0 ; 0.001074744
24581.9 ; 0.001278453
24587.8 ; 0.001513846
24593.17 ; 0.001756587
24598.54 ; 0.00202712
24603.91 ; 0.002323731
24609.27 ; 0.002645956
24620.01 ; 0.003373683
24630.74 ; 0.00421232
24641.48 ; 0.005165525
24652.21 ; 0.00623363
24662.95 ; 0.007420896
24673.68 ; 0.008735197
24687.64 ; 0.01062861
24701.59 ; 0.01272674
24715.55 ; 0.01504059
24729.5 ; 0.01757094
24743.46 ; 0.02033084
24757.41 ; 0.0233267
24785.32 ; 0.03005012
24813.23 ; 0.03776419
24841.14 ; 0.04669046
24869.05 ; 0.05652016
24896.95 ; 0.06751735
24922.72 ; 0.07887901
24948.48 ; 0.09131392
24974.24 ; 0.10477
25000.0 ; 0.1193814
25032.6 ; 0.1397806
25065.19 ; 0.162294
25097.79 ; 0.1870592
25130.38 ; 0.2141961
25162.98 ; 0.2438648
25195.57 ; 0.2762888
25260.75 ; 0.3497491
25325.94 ; 0.4359513
25391.13 ; 0.5366032
25456.32 ; 0.6535753
25521.5 ; 0.7889842
25566.32 ; 0.8957954
25611.14 ; 1.012116
25655.96 ; 1.137753
25700.77 ; 1.279752
25790.41 ; 1.603185
25835.23 ; 1.790522
25880.04 ; 1.997839
25924.86 ; 2.221283
25969.68 ; 2.467656
26059.31 ; 3.040797
26104.13 ; 3.365209
26148.94 ; 3.731767
26238.57 ; 4.557669
26328.21 ; 5.575678
26373.03 ; 6.148522
26417.84 ; 6.796785
26507.47 ; 8.279253
26552.29 ; 9.143143
26597.1 ; 10.10462
26641.92 ; 11.14549
26686.74 ; 12.30011
26776.37 ; 15.01341
26821.19 ; 16.56147
26866.0 ; 18.32275
26955.63 ; 22.31209
27007.85 ; 25.0679
27060.06 ; 28.14367
27164.48 ; 35.29358
27268.9 ; 43.9558
27373.32 ; 54.11631
27477.74 ; 65.21174
27582.16 ; 76.3303
27686.58 ; 86.15446
27791.0 ; 93.20444
27879.13 ; 96.06227
27967.25 ; 96.0577
28035.55 ; 94.18527
28103.85 ; 91.26572
28240.44 ; 83.17135
28377.04 ; 74.314
28513.63 ; 65.59944
28581.93 ; 61.56364
28650.23 ; 57.86241
28786.82 ; 51.18082
28923.41 ; 45.62264
29060.0 ; 40.8945
29177.5 ; 37.49638
29295.0 ; 34.55351
29412.5 ; 31.99037
29530.0 ; 29.75307
29647.5 ; 27.81986
29765.0 ; 26.11314
30000.0 ; 23.2481
30132.29 ; 21.90714
30264.57 ; 20.72099
30396.85 ; 19.66547
30529.13 ; 18.72141
30793.7 ; 17.10768
31058.26 ; 15.78235
31322.83 ; 14.67673
31587.39 ; 13.74257
31851.95 ; 12.94394
